game_date,away_team,home_team,away_pitcher,home_pitcher
2025-07-01,STL,PIT,Andre Pallante,Paul Skenes
2025-07-01,MIN,MIA,Joe Ryan,Edward Cabrera
2025-07-01,OAK,TB,Jeffrey Springs,Shane Baz
2025-07-01,LAA,ATL,Tyler Anderson,Grant Holmes
2025-07-01,CIN,BOS,Brady Singer,Richard Fitts
2025-07-01,NYY,TOR,Max Fried,Kevin Gausman
2025-07-01,SD,PHI,Nick Pivetta,Cristopher Sánchez
2025-07-01,DET,WSH,Jack Flaherty,Trevor Williams
2025-07-01,MIL,NYM,Freddy Peralta,Clay Holmes
