game_date,away_team,home_team,away_pitcher,home_pitcher
2025-06-25,PIT,MIL,Paul Skenes,Jacob Misiorowski
2025-06-25,ARI,CWS,Zac Gallen,Sean Burke
2025-06-25,BOS,LAA,Richard Fitts,Yusei Kikuchi
2025-06-25,WSH,SD,MacKenzie Gore,Nick Pivetta
2025-06-25,TEX,BAL,Jacob deGrom,Brandon Young
2025-06-25,TOR,CLE,Max Scherzer,Gavin Williams
2025-06-25,OAK,DET,Jacob Lopez,Jack Flaherty
2025-06-25,NYY,CIN,Max Fried,Brady Singer
2025-06-25,ATL,NYM,Didier Fuentes,Clay Holmes
2025-06-25,TB,KC,Drew Rasmussen,Michael Wacha
2025-06-25,SEA,MIN,George Kirby,Joe Ryan
2025-06-25,CHC,STL,Matthew Boyd,Erick Fedde
