game_date,away_team,home_team,away_pitcher,home_pitcher
2025-06-26,PHI,HOU,Cristopher Sánchez,Hunter Brown
2025-06-26,TB,KC,Shane Baz,Michael Lorenzen
2025-06-26,CHC,STL,Shota Imanaga,Andre Pallante
2025-06-26,LAD,COL,Clayton Kershaw,Austin Gomber
2025-06-26,MIA,SF,Janson Junk,Hayden Birdsong
2025-06-26,SEA,MIN,Emerson Hancock,Simeon Woods Richardson
2025-06-26,ATL,NYM,Grant Holmes,Griffin Canning
2025-06-26,OAK,DET,Jeffrey Springs,Dietrich Enns
2025-06-26,TOR,CLE,Kevin Gausman,Tanner Bibee
