game_date,away_team,home_team,away_pitcher,home_pitcher
2025-06-08,Phillies,Pirates,Cristopher Sánchez,Paul Skenes
2025-06-08,Rangers,Nationals,Jacob Latz,Trevor Williams
2025-06-08,Astros,Guardians,Brandon Walter,Tanner Bibee
2025-06-08,Cubs,Tigers,Cade Horton,Jack Flaherty
2025-06-08,D-backs,Reds,Zac Gallen,Brady Singer
2025-06-08,Blue Jays,Twins,Bowden Francis,Joe Ryan
2025-06-08,Royals,White Sox,Michael Lorenzen,Mike Vasil
2025-06-08,Dodgers,Cardinals,Clayton Kershaw,Michael McGreevy
2025-06-08,Mets,Rockies,Tylor Megill,Chase Dollander
2025-06-08,Braves,Giants,Spencer Strider,Landen Roupp
2025-06-08,Mariners,Angels,George Kirby,Tyler Anderson
2025-06-08,Orioles,Athletics,Tomoyuki Sugano,Jacob Lopez
2025-06-08,Red Sox,Yankees,Hunter Dobbins,Carlos Rodón
2025-06-08,Marlins,Rays,Anthony Veneziano,Drew Rasmussen
2025-06-08,Padres,Brewers,Ryan Bergert,Freddy Peralta
