rank,team,team_gpa,recent_win_pct,run_diff_per_game,batting_power_idx,trend
1,NYY,100.0,0.58,1.012,0.504,0
2,PHI,94.39,0.593,0.802,-0.123,0
3,BOS,90.2,0.549,0.679,0.482,0
4,SD,89.4,0.556,0.5,0.461,0
5,NYM,85.59,0.512,0.315,1.172,0
6,CHC,83.3,0.568,0.889,-0.865,0
7,HOU,82.95,0.537,0.13,0.573,0
8,KC,81.04,0.506,0.086,1.069,0
9,CIN,79.17,0.512,0.216,0.601,0
10,SF,79.15,0.5,0.13,0.954,0
11,CLE,77.74,0.543,-0.037,0.072,0
12,DET,77.6,0.537,0.414,-0.301,0
13,SEA,76.43,0.556,0.444,-0.849,0
14,TEX,76.1,0.5,0.488,0.244,0
15,TB,72.11,0.475,0.191,0.665,0
16,MIL,71.37,0.599,1.062,-2.964,0
17,TOR,70.42,0.58,0.475,-2.038,0
18,LAD,68.74,0.574,0.877,-2.52,0
19,ARI,67.57,0.494,0.037,,0
20,ATL,67.39,0.469,-0.062,0.571,0
21,MIA,66.63,0.488,-0.549,0.628,0
22,STL,62.83,0.481,-0.401,0.197,0
23,PIT,54.68,0.438,-0.383,0.229,0
24,BAL,53.42,0.463,-0.685,-0.098,0
25,MIN,52.47,0.432,-0.586,0.346,0
26,ATHLETICS,52.37,0.469,-0.519,,0
27,LAA,48.86,0.444,-1.012,0.165,0
28,WSH,43.1,0.407,-1.309,0.661,0
29,CWS,33.43,0.37,-0.586,-0.36,0
30,COL,0.0,0.265,-2.617,0.526,0
