rank,team,team_gpa,recent_win_pct,run_diff_per_game,batting_power_idx,trend
1,CLE,100.0,0.543,-0.037,2.402,0
2,MIL,98.17,0.599,1.062,-0.227,0
3,LAD,96.63,0.574,0.877,0.275,0
4,TOR,96.11,0.58,0.475,0.504,0
5,BOS,94.91,0.549,0.679,,0
6,SD,94.28,0.556,0.5,,0
7,NYY,91.58,0.58,1.012,-0.73,0
8,SEA,91.12,0.556,0.444,0.341,0
9,PHI,90.4,0.593,0.802,-0.934,0
10,CHC,88.08,0.568,0.889,-0.84,0
11,HOU,86.42,0.537,0.13,,0
12,NYM,83.24,0.512,0.315,,0
13,TEX,82.51,0.5,0.488,,0
14,CIN,82.18,0.512,0.216,,0
15,DET,80.33,0.537,0.414,-0.79,0
16,KC,79.49,0.506,0.086,,0
17,SF,78.66,0.5,0.13,,0
18,ARI,76.37,0.494,0.037,,0
19,TB,74.15,0.475,0.191,,0
20,ATL,70.14,0.469,-0.062,,0
21,STL,69.08,0.481,-0.401,,0
22,MIA,68.78,0.488,-0.549,,0
23,ATHLETICS,65.23,0.469,-0.519,,0
24,BAL,62.15,0.463,-0.685,,0
25,PIT,60.22,0.438,-0.383,,0
26,MIN,56.74,0.432,-0.586,,0
27,LAA,54.75,0.444,-1.012,,0
28,WSH,43.81,0.407,-1.309,,0
29,CWS,43.81,0.37,-0.586,,0
30,COL,0.0,0.265,-2.617,,0
