rank,team,team_gpa,recent_win_pct,run_diff_per_game,batting_power_idx,trend
1,BOS,100.0,0.549,0.679,1.159,2
2,SD,94.9,0.556,0.5,0.704,0
3,PHI,91.17,0.593,0.802,-0.786,1
4,NYM,86.15,0.512,0.315,0.927,3
5,NYY,85.59,0.58,1.012,-1.32,-4
6,HOU,85.48,0.537,0.13,0.538,0
7,CIN,84.28,0.512,0.216,0.844,2
8,KC,84.23,0.506,0.086,1.11,-3
9,CLE,83.46,0.543,-0.037,0.383,1
10,TEX,82.77,0.5,0.488,0.657,1
11,MIL,82.72,0.599,1.062,-2.057,3
12,CHC,80.06,0.568,0.889,-1.488,-4
13,SF,77.71,0.5,0.13,0.529,-1
14,TOR,77.52,0.58,0.475,-1.56,1
15,SEA,76.79,0.556,0.444,-1.079,1
16,LAD,74.73,0.574,0.877,-2.147,1
17,DET,71.86,0.537,0.414,-1.155,-4
18,TB,70.0,0.475,0.191,0.2,1
19,ARI,69.86,0.494,0.037,,1
20,MIA,69.07,0.488,-0.549,0.647,-2
21,STL,65.99,0.481,-0.401,0.303,1
22,ATL,61.03,0.469,-0.062,,-1
23,LAA,58.64,0.444,-1.012,1.0,4
24,PIT,58.34,0.438,-0.383,0.418,-1
25,BAL,57.95,0.463,-0.685,0.184,-1
26,ATHLETICS,54.08,0.469,-0.519,,0
27,MIN,53.74,0.432,-0.586,0.301,-2
28,CWS,45.25,0.37,-0.586,0.741,1
29,WSH,41.82,0.407,-1.309,0.392,-1
30,COL,0.0,0.265,-2.617,0.554,0
