rank,team,team_gpa,recent_win_pct,run_diff_per_game,batting_power_idx,trend
1,NYY,100.0,0.58,1.012,-0.277,0
2,SD,98.17,0.556,0.5,0.623,2
3,BOS,97.73,0.549,0.679,0.517,0
4,PHI,97.47,0.593,0.802,-0.555,-2
5,KC,91.57,0.506,0.086,1.475,3
6,HOU,89.91,0.537,0.13,0.615,1
7,NYM,88.52,0.512,0.315,0.802,-2
8,CHC,88.4,0.568,0.889,-1.005,-2
9,CIN,88.34,0.512,0.216,0.891,2
10,CLE,86.36,0.543,-0.037,0.322,0
11,TEX,84.87,0.5,0.488,0.522,3
12,SF,81.61,0.5,0.13,0.593,-3
13,DET,79.79,0.537,0.414,-0.673,0
14,MIL,78.78,0.599,1.062,-2.777,2
15,TOR,77.95,0.58,0.475,-1.831,2
16,SEA,77.71,0.556,0.444,-1.298,-4
17,LAD,75.7,0.574,0.877,-2.352,2
18,MIA,75.65,0.488,-0.549,1.013,0
19,TB,75.09,0.475,0.191,0.417,-4
20,ARI,72.7,0.494,0.037,,0
21,ATL,72.0,0.469,-0.062,0.522,0
22,STL,65.89,0.481,-0.401,0.038,0
23,PIT,60.67,0.438,-0.383,0.425,0
24,BAL,59.87,0.463,-0.685,0.153,0
25,MIN,56.79,0.432,-0.586,0.4,0
26,ATHLETICS,56.13,0.469,-0.519,,0
27,LAA,55.17,0.444,-1.012,0.444,0
28,WSH,41.64,0.407,-1.309,0.237,0
29,CWS,40.62,0.37,-0.586,0.138,0
30,COL,0.0,0.265,-2.617,0.621,0
